,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPXTR,.SPX,.SPX,.SPX,.SPX,.SPX
,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS,LOW_1,TRDPRC_1,HIGH_1,OPEN_PRC,ACVOL_UNS
Date,,,,,,,,,,
2007-01-31,2173.2918,2219.1886,2221.5556,2183.9215,,,,,,
2007-02-28,2163.1135,2175.7839,2255.478,2231.6059,,,,,,
2007-03-31,2125.3426,2200.12,2225.2579,2170.1713,,,,,,
2007-04-30,2205.8511,2297.5749,2317.4956,2205.8511,,,,,,
2007-05-31,2303.6758,2377.749,2377.749,2303.6758,,,,,,
2007-06-30,2316.6251,2338.2467,2391.1325,2386.6291,,,,,,
2007-07-31,2265.7498,2265.7498,2417.5001,2363.2775,,,,,,
2007-08-31,2193.3952,2299.7136,2333.2389,2282.2977,,,,,,
2007-09-30,2266.5095,2385.7202,2392.9227,2323.8252,,,,,,
2007-10-31,2346.7753,2423.6694,2447.0275,2417.4438,,,,,,
2007-11-30,2205.4856,2322.3441,2379.0516,2360.2081,,,,,,
2007-12-31,2269.238,2306.2325,2378.6025,2308.7394,,,,,,
2008-01-31,2060.1493,2167.9009,2273.4139,2273.4058,,,,,,
2008-02-29,2087.0499,2097.475,2194.4273,2194.4273,,,,,,
2008-03-31,2008.7125,2088.4182,2135.5416,2098.6386,,,,,,
2008-04-30,2098.9151,2190.1307,2209.2513,2163.3833,,,,,,
2008-05-31,2179.0537,2218.4986,2258.7402,2228.0926,,,,,,
2008-06-30,2028.8909,2031.4713,2225.7422,2195.2688,,,,,,
2008-07-31,1929.8469,2014.3944,2040.8073,2039.6556,,,,,,
2008-08-31,1985.2329,2043.5319,2076.5906,2003.1619,,,,,,
2008-09-30,1765.7235,1861.4383,2035.2374,2035.2374,,,,,,
2008-10-31,1356.78,1548.8136,1853.2638,1853.2638,,,,,,
2008-11-30,1206.0388,1437.6792,1607.9967,1544.9133,,,,,,
2008-12-31,1309.392,1452.9764,1466.8744,1309.392,,,,,,
2009-01-31,1296.6328,1330.5103,1503.8662,1499.1661,,,,,,
2009-02-28,1188.8405,1188.8405,1403.1941,1329.8127,,,,,,
2009-03-31,1095.0358,1292.9772,1349.3732,1133.4312,,,,,,
2009-04-30,1314.6311,1416.7273,1417.9895,1314.6311,,,,,,
2009-05-31,1424.4081,1495.969,1509.1383,1424.4081,,,,,,
2009-06-30,1455.5406,1498.9365,1541.6982,1534.6526,,,,,,
2009-07-31,1434.5037,1612.312,1612.312,1505.6394,,,,,,
2009-08-31,1602.061,1670.5233,1687.1644,1637.0553,,,,,,
2009-09-30,1628.6606,1732.8591,1755.9933,1633.6326,,,,,,
2009-10-31,1680.7047,1700.6677,1801.1249,1688.2357,,,,,,
2009-11-30,1711.6519,1802.6797,1826.7416,1711.6519,,,,,,
2009-12-31,1797.3062,1837.4993,1857.8883,1824.5405,,,,,,
2010-01-31,1771.3976,1771.3976,1896.7181,1867.063,,,,,,
2010-02-28,1744.3727,1826.2705,1833.0909,1796.6682,,,,,,
2010-03-31,1844.8715,1936.4766,1943.7007,1844.8715,,,,,,
2010-04-30,1950.9073,1967.0491,2017.1934,1950.9073,,,,,,
2010-05-31,1773.6473,1809.9788,1992.8733,1992.8733,,,,,,
2010-06-30,1715.2295,1715.2295,1858.7031,1778.9905,,,,,,
2010-07-31,1701.8571,1835.4037,1857.3395,1709.7708,,,,,,
2010-08-31,1748.1365,1752.5459,1880.056,1875.845,,,,,,
2010-09-30,1804.4554,1908.9513,1920.8427,1804.4554,,,,,,
2010-10-31,1902.1487,1981.5853,1985.1309,1917.4222,,,,,,
2010-11-30,1976.2555,1981.8394,2053.7705,1983.4727,,,,,,
2010-12-31,2024.9694,2114.2886,2117.834,2024.9694,,,,,,
2011-01-31,2135.5254,2164.4004,2186.929,2138.3003,,,,,,
2011-02-28,2194.9443,2238.5508,2263.7856,2200.5415,,,,,,
2011-03-31,2121.937,2239.4414,2245.3298,2203.315,,,,,,
2011-04-30,2206.1521,2305.7632,2305.7632,2250.5828,,,,,,
2011-05-31,2229.4944,2279.6628,2301.7214,2301.7214,,,,,,
2011-06-30,2146.4473,2241.6628,2241.6628,2227.9624,,,,,,
2011-07-31,2196.0796,2196.0796,2298.3105,2274.2578,,,,,,
2011-08-31,1903.4745,2076.7842,2187.0029,2187.0029,,,,,,
2011-09-30,1926.7574,1930.7887,2074.0642,2052.2966,,,,,,
2011-10-31,1875.9508,2141.8105,2196.1304,1875.9508,,,,,,
2011-11-30,1984.5015,2137.0771,2182.6094,2081.9717,,,,,,
2011-12-31,2067.6689,2158.9377,2171.7073,2133.0708,,,,,,
2012-01-31,2192.3989,2255.6914,2278.8269,2192.3989,,,,,,
2012-02-29,2276.2427,2353.2319,2364.0276,2276.2427,,,,,,
2012-03-31,2315.2126,2430.6748,2443.6401,2367.8665,,,,,,
2012-04-30,2346.2727,2415.418,2449.0781,2449.0781,,,,,,
2012-05-31,2242.2542,2270.2495,2429.0955,2429.0955,,,,,,
2012-06-30,2214.4065,2363.7888,2363.7888,2214.4065,,,,,,
2012-07-31,2318.0933,2396.6194,2408.0684,2369.7495,,,,,,
2012-08-31,2372.3083,2450.5981,2468.9985,2389.7344,,,,,,
2012-09-30,2445.8054,2513.9258,2556.1321,2447.7981,,,,,,
2012-10-31,2461.1768,2467.5078,2552.0479,2520.7112,,,,,,
2012-11-30,2369.3198,2481.822,2496.4585,2494.6653,,,,,,
2012-12-31,2462.7065,2504.4431,2538.7161,2470.0718,,,,,,
2013-01-31,2560.1721,2634.1606,2650.4297,2568.5525,,,,,,
